dataset,mae_mean,mae_std,mse_mean,mse_std,pred_mean_mean,pred_mean_std,rmse_mean,rmse_std,selection_kind,source_name,source_type,spearman_mean,spearman_std,status,target_mean_mean,target_mean_std,target_name,top_10p_capture_mean,top_10p_capture_std,top_20p_capture_mean,top_20p_capture_std
mmlu_pro,0.09600185251193427,,0.01576542774734518,,0.12632237314210765,,0.12556045455216058,,,prompt_length_plus_effective_budget,metadata_baseline,0.39305748822881714,,complete,0.12173562499999999,,mean_relative_length,0.16926023093075673,,0.2916510505176005,
mmlu_pro,0.13170688026681698,0.004489193685670604,0.022308416020934103,0.0013366212057433244,0.22707712470243377,0.005050849029820708,0.14931529682199654,0.004476296889143772,best_loss,ensemble,probe,0.5382846986210398,0.0026800792006084276,complete,0.12173562516982202,0.0,mean_relative_length,0.2625749206604272,0.012985675462728758,0.4453652972260919,0.004626252566645483
mmlu_pro,0.1343770034776147,0.0016070573664179605,0.023130846126000245,0.0004474592294449514,0.2314052928549548,0.001224664731688551,0.1520835670851174,0.0014670115883180486,best_rank,ensemble,probe,0.5416676432673152,0.003239232277971059,complete,0.12173562516982202,0.0,mean_relative_length,0.26271468169976725,0.01310196028994457,0.45206640843905976,0.007701861673328602
mmlu_pro,0.1756619399267947,0.025390133472989032,0.0383257709291956,0.009712337089312512,0.27405791270236174,0.04574815994717744,0.1946203080513228,0.02594339867491799,best_loss,last_layer,probe,0.4120746904175944,0.18677832929922472,complete,0.12173562516982202,0.0,mean_relative_length,0.20507711639871892,0.09196130643266294,0.36293869995600736,0.13002771456315398
mmlu_pro,0.17719348440975105,0.026882025618490624,0.03930567886358995,0.010600433421851999,0.2770042497975131,0.048317219746004496,0.19693149871215776,0.028026692952612838,best_rank,last_layer,probe,0.4162574709949607,0.1904609754153175,complete,0.12173562516982202,0.0,mean_relative_length,0.20885009221322515,0.09454336733452672,0.3631151125154451,0.13014179953285335
livecodebench,0.24583152130949965,,0.07796809785144347,,0.37932411882441375,,0.2792276810265119,,,prompt_length,metadata_baseline,0.4049523277144552,,complete,0.4077647395833333,,mean_relative_length,0.1369146297210031,,0.24777333437389795,
livecodebench,0.2614961979166667,,0.0869564893599177,,0.37608837239583337,,0.2948838574081628,,,effective_budget,metadata_baseline,,,complete,0.4077647395833333,,mean_relative_length,0.09068712133975335,,0.18782825523755464,
livecodebench,0.24583152130949965,,0.07796809785144347,,0.3793241188244137,,0.2792276810265119,,,prompt_length_plus_effective_budget,metadata_baseline,0.4049523277144552,,complete,0.4077647395833333,,mean_relative_length,0.1369146297210031,,0.24777333437389795,
livecodebench,0.19457933822801957,0.005176360216986006,0.048184437139863125,0.001563698925568606,0.4447531040447454,0.02247499027476372,0.21949011208141198,0.003576556658084723,best_loss,ensemble,probe,0.8000781280518771,0.004725749044172127,complete,0.40776473882142455,0.0,mean_relative_length,0.17107120786138774,0.0003277931413403486,0.3301429241035903,0.016466396706138604
livecodebench,0.19978775606335453,0.00552517187903117,0.050288243097233655,0.002121329876977148,0.45989798769975704,0.029039756969377314,0.22421727089266189,0.004720995236229895,best_rank,ensemble,probe,0.802116293605219,0.0036890550131554963,complete,0.40776473882142455,0.0,mean_relative_length,0.17006547065216518,0.0019269099736016803,0.33275868363262934,0.012115659411083187
livecodebench,0.19918143451989936,0.006591447167912258,0.05014998504509529,0.0033339747686085184,0.4683255790732801,0.01565225348933604,0.22385953716275106,0.007439018723007668,best_loss,last_layer,probe,0.7903326301808664,0.005393892958688994,complete,0.40776473882142455,0.0,mean_relative_length,0.15983379127183492,0.00409062558814437,0.3119105200241871,0.0043651984805341566
livecodebench,0.19918143451989936,0.006591447167912258,0.05014998504509529,0.0033339747686085184,0.4683255790732801,0.01565225348933604,0.22385953716275106,0.007439018723007668,best_rank,last_layer,probe,0.7903326301808664,0.005393892958688994,complete,0.40776473882142455,0.0,mean_relative_length,0.15983379127183492,0.00409062558814437,0.3119105200241871,0.0043651984805341566
