dataset,layer,num_rows,mean_prev_loop_mass,mean_last_prev_loop_mass,mean_prompt_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,top1_fraction_previous_loop,top1_fraction_last_previous_loop,top1_fraction_prompt,top1_fraction_current_trigger,top1_fraction_recent_nonloop
livecodebench,4,3,0.1901353895664215,0.09239755322535832,0.5244446396827698,0.29655441641807556,0.012487106025218964,0.0,0.0,0.7916666666666666,0.20833333333333334,0.0
livecodebench,5,3,0.17423040171464285,0.09743479266762733,0.5284158190091451,0.3187318245569865,0.02170361081759135,0.0,0.0,0.8541666666666666,0.14583333333333334,0.0
livecodebench,6,3,0.4086567461490631,0.1300027333199978,0.3079440196355184,0.21213925878206888,0.04908958077430725,0.10416666666666667,0.020833333333333332,0.6875,0.1875,0.0
livecodebench,7,3,0.22653461496035257,0.10637286429603894,0.38876912991205853,0.3557257254918416,0.031082026660442352,0.0,0.0,0.8541666666666666,0.14583333333333334,0.0
livecodebench,8,3,0.2714364727338155,0.07188976059357326,0.4525448679924011,0.1407947987318039,0.03450921177864075,0.041666666666666664,0.0,0.8958333333333334,0.0625,0.0
livecodebench,9,3,0.2205912172794342,0.09153172994653384,0.4019598563512166,0.2748660246531169,0.019844687233368557,0.0,0.0,0.7291666666666666,0.16666666666666666,0.020833333333333332
livecodebench,10,3,0.2759872575600942,0.09232557937502861,0.32331475615501404,0.30908194184303284,0.05637026826540629,0.041666666666666664,0.0,0.7916666666666666,0.14583333333333334,0.020833333333333332
livecodebench,11,3,0.3778904279073079,0.12694857766230902,0.2518285810947418,0.29068200786908466,0.0474247932434082,0.020833333333333332,0.0,0.5833333333333334,0.3125,0.041666666666666664
livecodebench,12,3,0.3458186586697896,0.11981689184904099,0.2925658921400706,0.2901679476102193,0.03388351698716482,0.0,0.0,0.75,0.22916666666666666,0.0
livecodebench,13,3,0.4480689863363902,0.13255557169516882,0.18921739359696707,0.28086555500825244,0.05384750167528788,0.10416666666666667,0.0,0.5208333333333334,0.2916666666666667,0.020833333333333332
livecodebench,14,3,0.35125646988550824,0.08319775015115738,0.27191048363844555,0.24534852306048074,0.04878578086694082,0.0,0.0,0.8125,0.14583333333333334,0.0
livecodebench,15,3,0.28239719072977704,0.09333673864603043,0.34475784997145337,0.3246307124694188,0.02233719329039256,0.0,0.0,0.75,0.25,0.0
livecodebench,16,3,0.4284590184688568,0.10439781844615936,0.26964597900708515,0.21767274041970572,0.022437259554862976,0.10416666666666667,0.0,0.6458333333333334,0.1875,0.0
livecodebench,17,3,0.32957249879837036,0.08863696580131848,0.2539900193611781,0.2514021595319112,0.08152195811271667,0.0625,0.0,0.625,0.22916666666666666,0.0625
livecodebench,18,3,0.34204187989234924,0.08946894357601802,0.28181009987990063,0.25013455251852673,0.07703439394632976,0.041666666666666664,0.0,0.75,0.16666666666666666,0.041666666666666664
livecodebench,19,3,0.27239436904589337,0.08752637604872386,0.32898421088854474,0.2858382115761439,0.07696707050005595,0.0625,0.0,0.625,0.25,0.041666666666666664
livecodebench,20,3,0.1840893030166626,0.04065548628568649,0.41316479444503784,0.20143334567546844,0.08974443872769673,0.0,0.0,0.75,0.20833333333333334,0.020833333333333332
livecodebench,21,3,0.1982317417860031,0.05348931004603704,0.5345601836840311,0.10733640690644582,0.07708375155925751,0.0,0.0,0.875,0.10416666666666667,0.020833333333333332
livecodebench,22,3,0.19561874369780222,0.053612311681111656,0.5003171761830648,0.16943079233169556,0.05011919140815735,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0
