dataset,layer,num_rows,query_position_mode,mean_prev_loop_mass,mean_last_prev_loop_mass,mean_prompt_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,mean_other_completion_mass,top1_fraction_previous_loop,top1_fraction_last_previous_loop,top1_fraction_prompt,top1_fraction_current_trigger,top1_fraction_recent_nonloop,top1_fraction_other_completion
aime,22,30,pre_trigger_start,0.14935305304825305,0.05998121742159128,0.4903856426477432,0.0,0.12382516852036739,0.23643614053726197,0.020833333333333332,0.01875,0.9479166666666666,0.0,0.025,0.00625
aime,23,30,pre_trigger_start,0.13823371833811204,0.06532739428027222,0.5459829370180765,0.0,0.1106983112161591,0.20508504944543043,0.0625,0.058333333333333334,0.8229166666666666,0.0,0.05,0.06458333333333334
aime,24,30,pre_trigger_start,0.12030783041069905,0.04964125806000084,0.6008816550175349,0.0,0.09196867325808852,0.1868418723344803,0.03958333333333333,0.03958333333333333,0.9125,0.0,0.0375,0.010416666666666666
aime,25,30,pre_trigger_start,0.10095061287283898,0.032613937215258675,0.5848203559716543,0.0,0.07042562419082969,0.24380341668923697,0.029166666666666667,0.020833333333333332,0.9166666666666666,0.0,0.014583333333333334,0.03958333333333333
aime,26,30,pre_trigger_start,0.1020207904279232,0.03796896454102049,0.5413012405236562,0.0,0.05151918260574651,0.30515879243612287,0.01875,0.01875,0.8958333333333334,0.0,0.004166666666666667,0.08125
aime,27,30,pre_trigger_start,0.10669074921558301,0.07010438380918155,0.6275306224822998,0.0,0.08211502955527976,0.18366361086567243,0.05,0.05,0.86875,0.0,0.016666666666666666,0.06458333333333334
gpqa,0,121,pre_trigger_start,0.16062908998328793,0.09495881808756212,0.0038987688947765328,0.0,0.3987966581721105,0.43667548057461575,0.12396694214876033,0.11776859504132231,0.0005165289256198347,0.0,0.4881198347107438,0.38739669421487605
gpqa,1,121,pre_trigger_start,0.14213731658668066,0.06952403851376832,0.019807823333304282,0.0,0.48460801793955083,0.35344683742227634,0.11002066115702479,0.08677685950413223,0.05630165289256198,0.0,0.6425619834710744,0.19111570247933884
gpqa,2,121,pre_trigger_start,0.13470556006636009,0.06686313170458628,0.014838017992798455,0.0,0.4732782052231429,0.3771782199705928,0.11880165289256199,0.08987603305785125,0.0030991735537190084,0.0,0.5898760330578512,0.2882231404958678
gpqa,3,121,pre_trigger_start,0.07418724724037712,0.026829107113717478,0.5730856748159266,0.0,0.16164679110458136,0.19108028611368386,0.035640495867768594,0.019111570247933883,0.8863636363636364,0.0,0.05475206611570248,0.02324380165289256
gpqa,4,121,pre_trigger_start,0.0714273088022851,0.046861340289994155,0.4906269173976804,0.0,0.24643608937011108,0.19150968739562782,0.033574380165289255,0.02737603305785124,0.7489669421487604,0.0,0.13946280991735538,0.07799586776859505
gpqa,5,121,pre_trigger_start,0.07048315487100651,0.05153303526395192,0.5418638175676677,0.0,0.284981288746084,0.10267174347065204,0.017045454545454544,0.01652892561983471,0.8672520661157025,0.0,0.08471074380165289,0.030991735537190084
gpqa,6,121,pre_trigger_start,0.12143231027236223,0.039411261692173655,0.2787852654279756,0.0,0.27092610663264866,0.3288563210978981,0.06921487603305786,0.025826446280991736,0.6270661157024794,0.0,0.13739669421487602,0.16632231404958678
gpqa,7,121,pre_trigger_start,0.10164759209772095,0.06096580968895535,0.3433986663325759,0.0,0.3495783560470609,0.20537538894198157,0.03615702479338843,0.03409090909090909,0.7474173553719008,0.0,0.1472107438016529,0.06921487603305786
gpqa,8,121,pre_trigger_start,0.13006260911818623,0.035651363083882996,0.3551739125458662,0.0,0.22380796649824242,0.2909555192574982,0.056818181818181816,0.019111570247933883,0.8130165289256198,0.0,0.07644628099173553,0.05371900826446281
gpqa,9,121,pre_trigger_start,0.08685295590515102,0.043714446398575815,0.3574760925671286,0.0,0.22198856112832002,0.333682392808524,0.030991735537190084,0.028409090909090908,0.7396694214876033,0.0,0.06508264462809918,0.16425619834710745
gpqa,10,121,pre_trigger_start,0.10582227558513319,0.06144317202457642,0.3184923136776144,0.0,0.36729703650209466,0.20838837645763209,0.017045454545454544,0.016012396694214875,0.8295454545454546,0.0,0.08884297520661157,0.06456611570247933
gpqa,11,121,pre_trigger_start,0.11289067483268493,0.04037344571340575,0.21176050800429888,0.0,0.23765992253541576,0.4376888957397997,0.047520661157024795,0.02169421487603306,0.6265495867768595,0.0,0.14617768595041322,0.1797520661157025
gpqa,12,121,pre_trigger_start,0.14571369093003844,0.05532340039037291,0.23299208837599794,0.0,0.34186749490870794,0.27942672630479515,0.031508264462809916,0.013946280991735538,0.7892561983471075,0.0,0.11880165289256199,0.06043388429752066
gpqa,13,121,pre_trigger_start,0.14909737330884482,0.04935609070802577,0.16741328378600523,0.0,0.31228713707398037,0.3712022043456716,0.06973140495867769,0.047520661157024795,0.6017561983471075,0.0,0.19266528925619836,0.13584710743801653
gpqa,14,121,pre_trigger_start,0.14056555795183112,0.05173188060077585,0.19994085602277567,0.0,0.3129375731430116,0.34655601512794654,0.03305785123966942,0.023760330578512397,0.7288223140495868,0.0,0.14049586776859505,0.09762396694214875
gpqa,15,121,pre_trigger_start,0.13502881254939256,0.06567255703853597,0.28415016041806906,0.0,0.382568030966415,0.1982529993392219,0.019111570247933883,0.019111570247933883,0.8223140495867769,0.0,0.15444214876033058,0.004132231404958678
gpqa,16,121,pre_trigger_start,0.1798167431896383,0.04748984182244821,0.2671692968646357,0.0,0.23296415825443698,0.32004980133338407,0.07541322314049587,0.03202479338842975,0.6627066115702479,0.0,0.1337809917355372,0.128099173553719
gpqa,17,121,pre_trigger_start,0.1498308936057012,0.05663486406272508,0.18733647163988146,0.0,0.2962545151860753,0.36657812224685654,0.04338842975206612,0.035640495867768594,0.65599173553719,0.0,0.18388429752066116,0.11673553719008264
gpqa,18,121,pre_trigger_start,0.17192899666665015,0.05301630671505531,0.2861055045827361,0.0,0.2612237199517506,0.2807417846908254,0.06508264462809918,0.028925619834710745,0.8016528925619835,0.0,0.10433884297520661,0.028925619834710745
gpqa,19,121,pre_trigger_start,0.1396084149206473,0.05603946823182262,0.2962173908209998,0.0,0.27576742447289243,0.288406770768737,0.0640495867768595,0.04442148760330578,0.6921487603305785,0.0,0.15495867768595042,0.08884297520661157
gpqa,20,121,pre_trigger_start,0.11831462173915107,0.03777868652856747,0.4112079963703786,0.0,0.17746681339792475,0.29301056746116355,0.05526859504132232,0.03667355371900827,0.8052685950413223,0.0,0.10433884297520661,0.03512396694214876
gpqa,21,121,pre_trigger_start,0.12309619713543861,0.026578785295017095,0.45926663846023813,0.0,0.1261671555540255,0.29147000339898194,0.04597107438016529,0.013429752066115703,0.8946280991735537,0.0,0.029958677685950414,0.029442148760330578
gpqa,22,121,pre_trigger_start,0.09939488837079814,0.03686007408113488,0.4704815410385447,0.0,0.18662723597747174,0.2434963343187797,0.012913223140495868,0.010330578512396695,0.9292355371900827,0.0,0.045454545454545456,0.012396694214876033
gpqa,23,121,pre_trigger_start,0.07434791679039968,0.026573270803686877,0.5437857535752383,0.0,0.1495502174905047,0.23231611573252797,0.0253099173553719,0.020144628099173553,0.8285123966942148,0.0,0.05371900826446281,0.09245867768595041
gpqa,24,121,pre_trigger_start,0.07602246342734857,0.02300532857458346,0.5854971596032135,0.0,0.12349952248017465,0.2149808537368932,0.010330578512396695,0.00878099173553719,0.9116735537190083,0.0,0.04390495867768595,0.03409090909090909
gpqa,25,121,pre_trigger_start,0.06125977388313733,0.016848151387323526,0.5619475949894298,0.0,0.10760769324785113,0.269184947013855,0.006714876033057851,0.0025826446280991736,0.9142561983471075,0.0,0.023760330578512397,0.05526859504132232
gpqa,26,121,pre_trigger_start,0.06942205476643871,0.020622099055100446,0.5354878328555872,0.0,0.0814420511341877,0.31364805799377854,0.00981404958677686,0.00878099173553719,0.887396694214876,0.0,0.004132231404958678,0.09865702479338843
gpqa,27,121,pre_trigger_start,0.04548777499397801,0.024148913928017036,0.6479443198393199,0.0,0.12234417842085327,0.18422372987078242,0.011363636363636364,0.011363636363636364,0.871900826446281,0.0,0.027892561983471075,0.08884297520661157
livecodebench,0,462,pre_trigger_start,0.2433503911721125,0.15208362707883905,0.003991098643689532,0.0,0.3208744609577267,0.43178404653162666,0.2454004329004329,0.22456709956709955,0.0045995670995671,0.0,0.408008658008658,0.341991341991342
livecodebench,1,462,pre_trigger_start,0.23061481238850814,0.12221956684997959,0.022972161391774167,0.0,0.41302099903716377,0.3333920275881177,0.22659632034632035,0.17518939393939395,0.08022186147186147,0.0,0.5404491341991342,0.15273268398268397
