dataset,layer,num_rows,mean_prev_loop_mass,mean_last_prev_loop_mass,mean_prompt_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,top1_fraction_previous_loop,top1_fraction_last_previous_loop,top1_fraction_prompt,top1_fraction_current_trigger,top1_fraction_recent_nonloop
aime,17,30,0.12341372563193241,0.026641586298743882,0.20672679493824642,0.261779865808785,0.10853056500976284,0.008333333333333333,0.004166666666666667,0.6791666666666667,0.23958333333333334,0.04791666666666667
aime,18,30,0.11883080496142308,0.025016321055591106,0.25194385995467505,0.26691358449558417,0.10085235961402456,0.020833333333333332,0.00625,0.7083333333333334,0.17291666666666666,0.052083333333333336
aime,19,30,0.09987778508414825,0.02563304208839933,0.30887718697388966,0.29339411556720735,0.09374066890838245,0.016666666666666666,0.008333333333333333,0.6145833333333334,0.2875,0.06041666666666667
aime,20,30,0.08469535317271948,0.018844864734758934,0.41117803355058036,0.18848356008529663,0.07617136326928933,0.004166666666666667,0.004166666666666667,0.7416666666666667,0.17083333333333334,0.0625
aime,21,30,0.0854995006074508,0.019233276008162648,0.4873281608025233,0.08805508700509866,0.07328070032720764,0.0125,0.008333333333333333,0.8666666666666667,0.03958333333333333,0.05416666666666667
aime,22,30,0.06633091270923615,0.016065720235928893,0.5027337074279785,0.16097205579280854,0.06324476130927602,0.0,0.0,0.9375,0.052083333333333336,0.010416666666666666
aime,23,30,0.0726837981492281,0.011595276036920647,0.5616925160090128,0.16803170243899027,0.039484044645602505,0.008333333333333333,0.0,0.81875,0.15416666666666667,0.008333333333333333
aime,24,30,0.0565523703272144,0.010211479271917293,0.5875796596209208,0.12667006328701974,0.04449842258666952,0.0020833333333333333,0.0020833333333333333,0.9125,0.07291666666666667,0.0125
aime,25,30,0.07557768244296312,0.010733598967393239,0.6182575871547064,0.06502861864864826,0.03633303882864614,0.025,0.004166666666666667,0.9020833333333333,0.03333333333333333,0.004166666666666667
aime,26,30,0.053925489510099095,0.008919183552886048,0.5633210261662801,0.0950473602861166,0.038047926609093945,0.0,0.0,0.8958333333333334,0.075,0.0
aime,27,30,0.037823860192050536,0.007817077566869557,0.6269291887680689,0.1764186148842176,0.02685857576628526,0.0,0.0,0.8833333333333333,0.10416666666666667,0.0
gpqa,0,121,0.07647989738794152,0.02114218724809764,0.004017274280887844,0.6274672593952211,0.10922482611673061,0.005165289256198347,0.0025826446280991736,0.0005165289256198347,0.9442148760330579,0.04390495867768595
gpqa,1,121,0.11950462945729248,0.031248895020401183,0.01827534107291255,0.46823880938459034,0.148795774852095,0.06043388429752066,0.035640495867768594,0.061466942148760334,0.7231404958677686,0.128099173553719
gpqa,2,121,0.14031956615773114,0.039010370223328844,0.013701468348226026,0.46770790046896815,0.14765253549967008,0.10485537190082644,0.05371900826446281,0.0046487603305785125,0.7350206611570248,0.10227272727272728
gpqa,3,121,0.05132530701985537,0.010550755936958372,0.57455956172352,0.14547216852218653,0.06445954539832344,0.01859504132231405,0.011880165289256199,0.878099173553719,0.05630165289256198,0.027892561983471075
gpqa,4,121,0.04354944463803872,0.01132150500443233,0.46845978843279124,0.3258489032914816,0.05562970854105305,0.007231404958677686,0.0046487603305785125,0.7159090909090909,0.24380165289256198,0.019111570247933883
gpqa,5,121,0.021175923276200027,0.008309253738723573,0.5262425921180032,0.34595568404217397,0.05879836338466372,0.0010330578512396695,0.0010330578512396695,0.8517561983471075,0.14307851239669422,0.004132231404958678
gpqa,6,121,0.18104057352651248,0.043886103827029094,0.2793651577854945,0.22922911865959975,0.102853879730856,0.14101239669421486,0.06508264462809918,0.5929752066115702,0.1559917355371901,0.056818181818181816
gpqa,7,121,0.045059661253948106,0.014382122589606207,0.36258539138746654,0.3562313264066523,0.10604035768038324,0.0010330578512396695,0.0010330578512396695,0.7861570247933884,0.1875,0.02169421487603306
gpqa,8,121,0.08224270807594554,0.01710793173011808,0.34320865005008444,0.17474624018515805,0.12483783586966721,0.01859504132231405,0.005165289256198347,0.7747933884297521,0.09245867768595041,0.042871900826446284
