dataset,mae_mean,mae_std,mse_mean,mse_std,pred_mean_mean,pred_mean_std,rmse_mean,rmse_std,selection_kind,source_name,source_type,spearman_mean,spearman_std,status,target_mean_mean,target_mean_std,target_name,top_10p_capture_mean,top_10p_capture_std,top_20p_capture_mean,top_20p_capture_std
aime,0.16735749112235174,0.004347561857153862,0.035393131511196656,0.0010201533232297598,0.6555640598138174,0.019502883367337732,0.18811749155142335,0.0027223749549316347,best_rank,ensemble,probe,0.738927738927739,0.06109716746890986,complete,0.6255763868490855,0.0,mean_relative_length,0.20650251998828928,0.018056917343832718,0.30755636330040215,0.015139919581892279
aime,0.16227650311258104,0.0028145264864906576,0.03556234522444182,0.0015317397824551654,0.6084078417883979,0.019777942841560283,0.18855059648397635,0.004065302567806188,best_loss,last_layer,probe,0.48251748251748255,0.1375686403699721,complete,0.6255763868490855,0.0,mean_relative_length,0.2205329173342919,0.004371000518651561,0.32063615379948723,0.019645149089580517
aime,0.16227650311258104,0.0028145264864906576,0.03556234522444182,0.0015317397824551654,0.6084078417883979,0.019777942841560283,0.18855059648397635,0.004065302567806188,best_rank,last_layer,probe,0.48251748251748255,0.1375686403699721,complete,0.6255763868490855,0.0,mean_relative_length,0.2205329173342919,0.004371000518651561,0.32063615379948723,0.019645149089580517
math500,0.22788594524905964,,0.06415973343918734,,0.41496036588844476,,0.2532977170035043,,,prompt_length,metadata_baseline,0.4609147657183268,,complete,0.2145361666666667,,mean_relative_length,0.1511516706196391,,0.2898497300765916,
math500,0.24900409469696969,,0.07463827118469495,,0.4338706439393939,,0.2732000570730082,,,effective_budget,metadata_baseline,,,complete,0.2145361666666667,,mean_relative_length,0.127894519727443,,0.23149554426332153,
math500,0.22788594524905956,,0.0641597334391873,,0.4149603658884446,,0.2532977170035042,,,prompt_length_plus_effective_budget,metadata_baseline,0.4609147657183268,,complete,0.2145361666666667,,mean_relative_length,0.1511516706196391,,0.2898497300765916,
math500,0.2071509665623307,0.02684794832215969,0.05212900812662572,0.011806682417108524,0.3858668218056361,0.03746010345192632,0.22736959795193137,0.025458025860309843,best_loss,ensemble,probe,0.7437863786378638,0.011319135977919373,complete,0.21453616674989462,0.0,mean_relative_length,0.19120435819058482,0.010284970036595934,0.3459379158559575,0.016400602193834237
math500,0.21344393882900478,0.021649809314488157,0.054262136359360134,0.009778836108712155,0.3971166186531385,0.029396227632242446,0.23233047303511992,0.020664740210230393,best_rank,ensemble,probe,0.7567556755675566,0.004318370233990166,complete,0.21453616674989462,0.0,mean_relative_length,0.18843235743780942,0.0047460826337919265,0.3451510757100338,0.0067341453948917655
math500,0.1550738539174199,0.026036677416747506,0.03332279308971524,0.006245814489411313,0.2877378374834855,0.06979172828943302,0.1820075056087509,0.01714909582729123,best_loss,last_layer,probe,0.25814181418141807,0.40269200113728043,complete,0.21453616674989462,0.0,mean_relative_length,0.1283706113061458,0.04714250164298677,0.23379274767880934,0.09675027701558102
math500,0.1550738539174199,0.026036677416747506,0.03332279308971524,0.006245814489411313,0.2877378374834855,0.06979172828943302,0.1820075056087509,0.01714909582729123,best_rank,last_layer,probe,0.25814181418141807,0.40269200113728043,complete,0.21453616674989462,0.0,mean_relative_length,0.1283706113061458,0.04714250164298677,0.23379274767880934,0.09675027701558102
mmlu_pro,0.27574209328954674,,0.12862868481892437,,0.3873109793340051,,0.35864841393616165,,,prompt_length,metadata_baseline,0.3919251899267953,,complete,0.12173562499999999,,mean_relative_length,0.16926023093075673,,0.2916510505176005,
