dataset,mae_mean,mae_std,mse_mean,mse_std,pred_mean_mean,pred_mean_std,rmse_mean,rmse_std,selection_kind,source_name,source_type,spearman_mean,spearman_std,status,target_mean_mean,target_mean_std,target_name,top_10p_capture_mean,top_10p_capture_std,top_20p_capture_mean,top_20p_capture_std
mmlu_pro,0.09600185251193427,,0.01576542774734518,,0.12632237314210765,,0.12556045455216058,,,prompt_length_plus_effective_budget,metadata_baseline,0.39305748822881714,,complete,0.12173562499999999,,mean_relative_length,0.16926023093075673,,0.2916510505176005,
mmlu_pro,0.09321387956636802,0.0003683911468595539,0.017759256771575388,3.9833488370347685e-05,0.10221739037272831,0.0013204059826916292,0.13326380556220202,0.00014949241621076275,best_loss,ensemble,probe,0.3482958318684324,0.03440111144041849,complete,0.12173562516982202,0.0,mean_relative_length,0.20895519844716082,0.022186615764589083,0.3554259770237402,0.024705832166691453
mmlu_pro,0.09321387956636802,0.0003683911468595539,0.017759256771575388,3.9833488370347685e-05,0.10221739037272831,0.0013204059826916292,0.13326380556220202,0.00014949241621076275,best_rank,ensemble,probe,0.3482958318684324,0.03440111144041849,complete,0.12173562516982202,0.0,mean_relative_length,0.20895519844716082,0.022186615764589083,0.3554259770237402,0.024705832166691453
mmlu_pro,0.09073694606098191,0.0004666673998152419,0.019057513227277247,0.0012924655887620686,0.08389102700166405,0.011478202493671446,0.13799515216512534,0.004719831490819956,best_loss,last_layer,probe,-0.019096449080042193,0.29333016331268197,complete,0.12173562516982202,0.0,mean_relative_length,0.09365311211701444,0.06196276065128334,0.18462181531116992,0.09776789624471739
mmlu_pro,0.09073694606098191,0.0004666673998152419,0.019057513227277247,0.0012924655887620686,0.08389102700166405,0.011478202493671446,0.13799515216512534,0.004719831490819956,best_rank,last_layer,probe,-0.019096449080042193,0.29333016331268197,complete,0.12173562516982202,0.0,mean_relative_length,0.09365311211701444,0.06196276065128334,0.18462181531116992,0.09776789624471739
livecodebench,0.24583152130949965,,0.07796809785144347,,0.37932411882441375,,0.2792276810265119,,,prompt_length,metadata_baseline,0.4049523277144552,,complete,0.4077647395833333,,mean_relative_length,0.1369146297210031,,0.24777333437389795,
livecodebench,0.2614961979166667,,0.0869564893599177,,0.37608837239583337,,0.2948838574081628,,,effective_budget,metadata_baseline,,,complete,0.4077647395833333,,mean_relative_length,0.09068712133975335,,0.18782825523755464,
livecodebench,0.24583152130949965,,0.07796809785144347,,0.3793241188244137,,0.2792276810265119,,,prompt_length_plus_effective_budget,metadata_baseline,0.4049523277144552,,complete,0.4077647395833333,,mean_relative_length,0.1369146297210031,,0.24777333437389795,
livecodebench,0.20405757502497482,0.013286814665510762,0.061707968919264146,0.008615118875734278,0.319990597696354,0.021534549318543695,0.24799187842504855,0.017663400910360717,best_loss,ensemble,probe,0.8050167975311536,0.0015956539893419394,complete,0.40776473882142455,0.0,mean_relative_length,0.16971025707654633,0.0040836408487359595,0.34040010721047437,0.004752426443075183
livecodebench,0.2108924656563128,0.015598735827641198,0.06564401536180638,0.00957594205671001,0.31437916771198315,0.019249705111927445,0.2557410938286295,0.01899374722675316,best_rank,ensemble,probe,0.8089925387710458,0.002331294667563109,complete,0.40776473882142455,0.0,mean_relative_length,0.1712233330771558,0.0014630056717653145,0.34150602605904185,0.001752815105801003
livecodebench,0.21528049276676028,0.010722398288909557,0.058772209147839816,0.0054347786333929365,0.41110362292577823,0.005764270525621499,0.2422606689461133,0.011089010074495123,best_loss,last_layer,probe,0.7840804328294073,0.005830007239808433,complete,0.40776473882142455,0.0,mean_relative_length,0.15647154115647263,0.00032121246513400984,0.31719083123639474,0.010341724266444413
livecodebench,0.21476054176843415,0.009839711751779728,0.05884806023959576,0.005564412746804231,0.40166959824661413,0.010846792224267824,0.24240933808125376,0.011342820456406711,best_rank,last_layer,probe,0.7846556506113519,0.006826287849575728,complete,0.40776473882142455,0.0,mean_relative_length,0.15647154115647263,0.00032121246513400984,0.31719083123639474,0.010341724266444413
